StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Central Park West & W 68 St,-2,0,1,-1,0,-1,-14,-23,-34,-33,-11,9,-8,3,1,-4,7,20,9,-13,-6,-2,7,4,6,0,1,1,0,1,16,63,66,80,53,56,50,48,46,62,82,86,107,42,38,18,17,12
W 49 St & 8 Ave,-2,-7,6,4,-1,2,18,3,12,-7,-18,-1,-6,4,-2,0,3,-55,1,11,-5,-17,6,-2,14,15,6,4,1,6,66,135,266,208,97,67,83,66,70,66,107,204,146,146,103,81,58,33
E 10 St & 5 Ave,2,2,-1,1,-1,1,-7,-14,-20,7,-5,13,17,22,5,-13,16,19,-4,0,2,0,1,-4,6,4,3,1,1,3,25,74,125,116,102,86,103,112,99,115,114,137,141,97,93,48,43,22
Allen St & Hester St,6,3,1,0,-2,2,-2,6,-53,-29,-11,-5,-3,8,14,1,1,15,7,20,0,19,6,7,14,11,1,0,2,4,20,36,121,82,49,51,70,62,68,73,79,93,103,97,76,63,32,32
Montrose Ave & Bushwick Ave,-2,-1,0,-1,0,1,-1,0,-3,1,-9,-3,6,-1,9,2,3,4,11,5,-5,0,-5,-2,8,5,0,1,0,1,1,8,23,29,19,9,10,9,11,12,7,22,28,25,23,22,17,4
W 52 St & 5 Ave,-1,-1,0,0,1,24,89,153,407,263,87,46,-3,34,-32,-14,-21,-32,-35,-4,-9,-6,2,-3,1,1,0,0,1,24,93,165,423,302,139,101,89,102,103,118,100,88,76,46,23,8,10,5
W Broadway & Spring St,4,-6,-1,0,-2,0,-2,13,89,84,12,0,9,-3,2,-13,8,2,-49,-19,-7,-9,-4,-11,16,10,1,0,4,2,12,80,226,188,79,70,113,77,120,148,145,208,266,196,103,71,58,45
Central Park West & W 76 St,-3,0,0,0,0,-8,-6,-29,-69,-13,14,28,-11,-15,-3,-6,-16,-1,33,14,1,7,21,9,3,0,0,0,0,10,8,31,98,58,64,80,101,77,82,63,79,77,76,39,23,15,23,25
E 85 St & York Ave,10,1,1,0,0,-1,-28,-78,-116,-64,-21,-18,-2,-1,1,2,10,57,123,132,68,38,16,11,10,1,1,0,2,7,35,88,151,78,27,29,30,29,35,40,48,100,171,157,88,58,28,15
Allen St & Rivington St,2,-2,-3,-5,0,1,-9,-23,-82,-16,11,-6,1,9,13,5,4,28,45,37,21,3,1,1,20,10,5,5,0,1,17,63,142,65,55,62,57,67,81,76,90,127,156,162,95,71,50,49
Rivington St & Chrystie St,3,2,1,-6,0,1,2,-9,-38,-30,1,3,11,9,1,-6,-5,5,23,8,20,15,-5,1,11,4,3,10,0,1,2,33,55,58,34,41,59,45,52,52,52,48,73,60,52,54,25,27
Mott St & Prince St,-6,2,-2,1,3,-2,-11,-10,5,8,11,0,14,19,5,11,8,20,9,-10,-14,-23,-8,-13,25,5,6,1,3,10,21,48,103,108,100,50,83,103,68,85,84,113,150,154,93,83,58,62
W 13 St & 5 Ave,-1,2,0,-1,1,16,5,1,56,25,35,27,35,-11,-24,-12,-11,-20,-10,-32,-30,-22,-16,-10,5,4,0,1,3,16,33,59,130,157,77,129,103,78,134,108,118,152,135,112,67,48,30,14
Broadway & W 53 St,0,0,-3,-1,0,3,36,68,164,8,-7,-4,-2,-1,-3,-15,-36,-144,-45,-9,-6,-7,-5,-1,4,10,3,1,0,3,46,118,243,79,41,50,62,67,53,52,81,196,88,41,22,17,13,7
Cadman Plaza E & Red Cross Pl,-2,0,0,0,0,0,0,-5,-6,-4,17,0,-5,-7,3,-1,-6,-5,0,-12,2,0,-3,0,2,0,0,0,0,0,2,15,36,27,21,36,35,37,29,21,42,39,30,22,8,2,7,4
N 8 St & Driggs Ave,-5,3,0,0,1,-1,14,39,58,7,14,-3,-1,-5,2,0,0,2,-39,-14,-17,-4,-7,-4,9,5,2,0,1,1,22,65,118,79,38,27,41,39,26,32,32,50,88,68,29,34,23,17
N Henry St & Richardson St,2,1,0,0,1,-1,-4,-13,-15,-14,-7,2,-1,2,-2,4,3,5,-1,10,8,10,5,4,2,1,0,0,1,1,4,13,31,22,15,4,7,4,12,8,7,15,15,34,15,10,9,4
N 12 St & Bedford Ave,0,-2,0,0,0,-4,1,-3,-3,5,1,-4,-1,4,-3,-3,8,0,18,-5,0,1,1,-2,8,4,0,0,0,4,5,7,11,17,19,6,11,14,17,13,24,21,30,45,24,16,11,10
Cleveland Pl & Spring St,1,-2,-1,1,-4,4,13,8,19,72,27,7,0,-15,-24,7,-12,-10,-29,-23,-6,-13,6,-14,13,6,3,1,4,8,41,64,204,238,141,112,169,193,184,201,192,208,252,211,133,70,59,44
Fulton St & William St,2,0,1,1,-1,-3,4,21,32,5,8,14,12,2,-4,-2,-20,-23,-26,-6,-1,3,-2,-4,13,2,1,1,1,5,8,49,88,77,40,56,49,52,42,41,66,66,88,59,41,29,16,8
Greenwich Ave & Charles St,3,-1,1,-1,-2,-13,1,-26,-34,-15,4,1,13,1,6,28,24,44,36,4,-4,-2,-13,-8,11,5,1,1,2,13,21,66,112,67,42,47,52,54,73,86,113,151,131,86,77,75,57,46
E 55 St & Lexington Ave,1,0,0,-1,0,3,18,57,86,-4,-1,2,-7,-1,-17,-6,-21,-78,-25,-10,0,-10,-6,-5,1,0,0,1,0,3,20,89,118,32,27,20,41,43,39,56,49,129,41,16,2,13,10,8
E 11 St & 2 Ave,-2,-6,6,-6,-2,-6,-17,-59,-51,-6,4,1,15,-6,-6,8,1,52,55,8,-8,1,-1,-7,33,23,11,6,4,8,23,95,133,49,32,44,91,60,28,50,117,158,169,106,100,82,45,49
Madison St & Montgomery St,-2,1,0,-1,0,-5,-8,-10,-42,-7,3,2,2,4,2,-6,15,24,30,2,1,4,0,1,4,1,0,1,0,7,8,24,52,11,3,10,11,24,22,20,36,46,46,20,15,11,13,7
Avenue D & E 3 St,2,1,1,0,0,-2,-9,-18,-38,-16,-1,2,-1,-3,10,-3,-1,22,26,23,16,3,0,4,6,1,1,0,0,2,11,44,90,38,9,9,10,17,18,33,35,41,66,41,24,15,8,10
Broadway & E 14 St,-7,6,2,-2,-2,6,33,63,61,9,26,9,-2,-6,-11,-8,-19,-55,-31,-2,-4,-11,-14,5,16,6,12,4,6,8,61,135,269,270,172,143,168,179,173,214,222,269,279,182,166,139,68,47
1 Ave & E 18 St,-5,3,-2,1,-1,0,-17,-65,-72,-10,3,1,1,11,-3,14,25,60,50,11,2,3,-5,6,15,13,2,1,1,6,45,123,130,34,27,51,46,67,77,82,107,164,158,78,48,41,35,20
2 Ave & E 31 St,-5,1,4,0,-1,-2,-25,-9,-43,-12,0,4,2,9,-7,5,-3,3,49,4,9,3,-8,2,19,7,4,0,4,12,43,81,87,66,46,48,40,47,49,53,90,122,155,124,75,75,62,30
W 13 St & 6 Ave,6,-2,-2,-1,2,1,3,27,-35,-12,-8,17,-1,14,3,1,-6,19,23,-10,-3,7,-12,-5,14,8,4,1,2,11,35,115,171,138,118,97,103,116,117,125,118,169,209,151,110,83,66,32
Lexington Ave & E 29 St,6,4,-2,0,1,-1,-10,-3,32,58,-9,3,1,3,-4,-8,8,-16,-24,-33,-4,-1,10,-2,10,6,4,0,1,3,18,69,186,200,89,71,80,87,82,68,82,157,194,124,72,75,38,31
W 70 St & Amsterdam Ave,2,1,1,1,-1,-13,-25,-42,-64,-20,-19,-8,1,-16,9,6,8,46,27,-2,-11,2,3,-7,8,3,1,1,1,19,34,81,103,55,39,41,47,64,60,54,70,87,78,36,35,28,28,13
E 67 St & Park Ave,0,0,2,-1,-1,2,0,5,7,12,1,15,13,6,-7,10,-3,-7,-20,-11,-19,-18,-8,-2,4,0,2,1,1,2,20,43,81,66,57,42,61,54,42,62,91,135,112,69,49,28,18,8
E 2 St & Avenue B,5,8,3,0,0,-5,-19,-47,-78,1,-3,-1,-18,3,-18,10,12,48,44,4,1,-5,6,11,27,8,3,3,2,11,31,83,120,29,19,39,84,78,90,81,98,130,114,75,41,49,34,33
E 9 St & Avenue C,1,1,2,0,-2,-6,-11,-46,-80,4,-5,4,0,2,8,10,18,59,28,13,4,0,2,0,9,1,2,0,2,10,37,90,96,20,31,26,28,32,36,60,68,127,84,47,42,42,26,21
FDR Drive & E 35 St,5,7,-3,0,-1,0,-27,-125,-95,-50,-10,-14,0,-3,9,31,88,74,-5,12,1,-3,6,1,5,7,3,0,1,0,43,174,178,67,35,47,50,39,45,75,187,185,135,68,29,23,10,13
E 24 St & Park Ave S,-1,-1,-1,0,0,18,95,119,31,-4,-5,4,2,-20,8,-37,-114,-87,-5,0,-5,6,4,-5,7,1,1,0,0,30,113,178,85,65,60,64,111,75,82,109,193,175,81,46,21,32,22,23
W 24 St & 7 Ave,5,2,0,2,0,-1,-9,3,6,59,41,-5,-19,12,3,16,10,-3,-48,-12,7,-22,6,-1,19,6,0,4,0,9,62,75,144,220,148,108,127,116,116,121,122,215,266,174,129,99,64,29
Adelphi St & Myrtle Ave,-2,0,0,0,0,-3,-24,-23,-36,1,-2,1,-5,6,1,5,1,31,42,18,4,7,6,0,5,0,0,0,0,3,24,35,48,15,8,7,15,20,10,25,27,51,72,28,16,23,10,6
Lafayette Ave & St James Pl,3,0,-1,0,0,0,-3,-3,-7,1,-4,-12,-6,-3,12,5,-5,-3,-6,-10,2,2,-4,-2,3,2,1,0,0,0,3,5,13,15,10,24,10,14,20,19,13,13,14,18,12,10,6,6
W 18 St & 6 Ave,-4,2,0,0,0,10,9,13,133,37,-1,-3,-6,-1,11,-11,-9,-45,-77,-44,-13,-5,-4,0,4,2,4,2,0,14,41,87,297,211,89,130,145,155,153,130,159,281,315,176,87,41,16,18
8 Ave & W 31 St,-9,0,1,0,-6,-28,-166,-81,-44,8,-3,12,2,32,62,62,75,82,14,-6,-2,-4,-14,-4,27,10,5,0,14,60,266,237,282,235,121,118,129,150,184,156,217,256,266,145,64,67,72,32
Broadway & W 36 St,-3,0,0,0,0,2,5,-2,9,12,-2,0,-2,1,7,-2,0,15,-23,-1,1,-1,-10,2,3,0,0,0,0,2,13,36,129,90,65,50,43,39,47,32,46,103,87,35,21,21,14,4
W 39 St & 9 Ave,-1,-4,0,2,0,-21,-78,-51,3,14,-11,-3,5,8,28,39,73,48,-20,-17,-4,11,6,1,17,12,2,3,2,24,117,99,95,140,87,59,53,72,118,131,190,232,182,113,88,63,51,24
Clark St & Henry St,-1,-1,0,-1,2,-8,2,-13,2,-8,-3,4,1,1,10,-8,0,8,8,9,-12,-7,-5,-1,7,3,0,1,2,8,18,29,57,28,13,16,23,24,32,33,22,47,55,47,40,35,20,20
Clinton St & Joralemon St,0,1,0,1,0,2,8,-4,-32,-7,-5,1,1,1,3,-2,2,5,8,11,2,3,-1,-1,4,3,0,1,0,4,14,24,54,26,17,7,8,7,7,6,15,16,26,25,22,15,9,5
E 55 St & 3 Ave,-4,0,1,-1,0,0,8,39,138,47,-7,3,6,-3,-9,-6,-26,-68,-79,2,-3,-1,2,-3,8,0,1,1,0,0,10,63,244,97,33,22,33,49,53,40,58,90,122,24,24,21,14,7
Broadway & W 24 St,-6,-1,0,0,11,5,19,70,157,8,-1,-6,3,-23,-22,-26,-30,-122,-11,-16,5,-2,-1,-2,8,1,0,0,11,9,45,128,293,104,101,124,179,181,212,210,226,344,206,110,61,52,50,14
Lispenard St & Broadway,5,0,-2,0,0,1,-5,11,47,55,19,14,3,-12,-7,6,-14,-27,-41,-22,-18,-5,1,6,11,4,2,0,0,1,13,35,89,123,70,62,59,59,52,73,80,116,115,64,38,23,18,14
Canal St & Rutgers St,0,1,-2,-1,-1,2,0,-17,-24,-20,-16,-1,7,-5,9,-3,6,42,14,2,2,12,2,0,11,11,8,2,3,8,28,65,110,90,65,57,54,52,55,83,69,125,147,73,58,50,39,34
Graham Ave & Conselyea St,1,-3,0,1,0,1,2,18,28,12,2,-4,1,-11,0,3,3,3,-2,-18,-1,-13,-8,1,9,3,2,1,0,1,6,20,52,37,18,8,17,13,12,13,13,21,44,59,26,23,20,11
W 64 St & West End Ave,-1,2,1,2,0,-2,-11,-25,-98,-20,-7,-4,0,7,7,-10,22,38,50,13,11,6,3,6,5,2,1,2,0,4,23,54,118,38,25,23,14,21,29,42,44,83,96,54,37,20,14,8
Central Park S & 6 Ave,4,-3,-1,-1,0,-1,21,72,81,38,1,16,-18,-18,9,4,-3,-29,-152,-21,-6,-7,-4,-4,6,3,1,1,0,15,23,91,125,100,86,143,179,155,158,169,178,177,216,42,39,27,12,16
Lawrence St & Willoughby St,-3,-3,2,1,-2,2,5,7,50,27,8,2,-6,1,8,3,-3,-3,-17,-25,-11,-9,-5,-7,5,3,2,1,2,2,5,37,92,69,35,20,20,13,34,30,33,47,77,47,23,13,17,17
York St & Jay St,-2,0,-1,-1,4,0,8,14,59,44,0,6,6,8,3,-3,-4,-23,-19,1,-7,-5,-9,-6,6,2,1,3,4,2,10,26,99,120,46,26,54,28,27,29,42,73,78,55,31,19,11,10
Division Ave & Marcy Ave,-1,0,0,0,0,0,-1,-3,5,2,-3,2,3,-7,2,-4,-4,3,-2,-5,0,3,3,0,3,0,0,0,0,0,1,5,7,8,3,4,5,7,6,6,6,11,4,9,4,5,7,2
E 13 St & Avenue A,10,1,1,1,0,-6,-23,-78,-48,3,2,-3,1,1,1,3,24,44,42,24,16,13,15,6,17,7,1,4,0,12,27,101,92,27,26,38,58,61,67,77,90,141,162,105,64,60,43,34
W 37 St & 5 Ave,0,-1,1,-1,6,11,12,21,58,8,8,6,-2,-6,-19,-14,-27,-38,-4,-9,-1,3,-7,-1,8,1,1,1,6,21,50,77,178,130,71,94,108,118,99,117,138,144,106,75,33,27,24,13
W 45 St & 6 Ave,0,1,0,0,2,21,13,92,35,-1,-9,-1,-4,-37,3,-15,-48,-39,-7,-3,0,-1,-2,1,4,1,0,0,2,21,49,140,121,45,87,63,106,113,82,96,113,128,88,45,24,21,20,5
Lexington Ave & E 24 St,2,0,2,2,0,-1,17,40,140,-26,-13,-1,12,-31,3,-16,9,-51,-20,-46,-19,3,0,-10,26,6,4,2,4,7,33,126,422,242,97,96,105,122,140,123,157,351,264,231,129,69,60,50
MacDougal St & Washington Sq,-9,0,1,0,2,1,1,-9,-8,-16,18,-4,19,22,7,3,-12,31,18,8,-11,-21,-19,-5,11,2,1,0,2,1,31,67,118,118,99,78,99,102,79,103,106,123,151,98,75,73,61,19
E 11 St & 1 Ave,1,4,-3,0,0,-7,-16,-45,-51,-5,4,4,4,0,3,16,8,38,42,1,5,-9,-1,8,11,8,5,2,0,9,50,106,93,29,20,38,56,46,52,74,82,124,138,78,64,39,56,34
Queens Plaza North & Crescent St,-3,6,1,1,1,-2,-5,-6,-13,0,-4,-5,-1,-2,4,4,-3,-4,17,7,11,4,4,6,5,6,1,1,1,2,11,16,42,19,10,11,17,25,20,20,28,50,52,36,19,8,10,6
W 17 St & 8 Ave,7,3,-3,-5,0,-10,-12,8,51,37,6,-5,7,-2,-16,-41,-21,-29,-5,-1,0,19,2,16,23,9,7,7,4,22,40,105,250,269,112,108,92,81,132,145,143,223,215,142,120,93,67,48
E 53 St & Madison Ave,-1,-1,1,-3,8,3,70,80,11,1,0,-11,-4,-5,-26,-3,-50,-119,-29,-16,-28,-20,-1,4,2,1,1,3,8,5,96,86,43,37,54,46,88,82,105,83,106,166,63,40,30,22,3,6
Broadway & W 41 St,-3,0,-1,0,-1,10,19,18,140,-7,3,-8,-8,-25,-12,-27,-23,-58,-13,2,-2,0,-5,5,7,2,1,0,1,22,55,155,445,295,82,86,91,116,102,108,123,170,107,42,28,24,14,5
Wythe Ave & Metropolitan Ave,2,-2,0,1,0,-2,-4,-34,12,-11,-5,8,-1,-6,7,-4,2,3,17,0,6,7,-2,1,8,4,0,1,0,2,8,46,66,57,23,36,41,30,27,37,46,56,55,46,36,27,32,11
Stagg St & Union Ave,7,3,1,1,-2,0,0,-11,-17,-20,0,-6,-1,-3,-1,-1,3,9,5,9,8,4,5,5,7,3,1,1,2,0,0,15,23,24,4,10,9,5,3,3,9,13,19,27,24,12,11,9
Franklin St & W Broadway,2,2,-1,-1,4,-3,13,25,53,30,10,1,-7,-11,-11,0,-8,-12,-39,-16,-17,-9,5,-6,6,2,1,1,4,3,27,58,137,87,44,52,58,44,57,65,70,85,117,68,39,21,15,12
W 20 St & 8 Ave,-2,-2,1,3,0,-4,-24,-7,-93,-26,8,-4,9,8,-5,-8,21,45,32,22,2,11,8,-3,22,8,3,3,0,6,48,67,139,92,54,49,67,79,69,70,75,132,120,130,90,57,43,35
W 56 St & 6 Ave,-1,-3,-2,-1,0,15,81,100,91,32,9,0,-9,-2,-2,-18,-42,-72,-1,6,-12,0,-3,0,5,5,2,1,2,29,115,162,187,90,57,67,115,83,110,107,130,196,119,89,40,24,29,8
Great Jones St,-7,0,-4,0,4,6,16,30,43,1,4,-4,-2,-1,7,3,-11,-2,-5,-16,-12,-14,-6,-12,11,6,10,0,4,14,28,84,123,161,88,78,104,96,94,81,97,150,181,126,68,58,54,30
Dean St & 4 Ave,3,5,1,0,0,-5,-1,-6,-47,-15,-3,-5,1,8,2,2,13,24,45,12,6,12,-6,-3,9,5,1,0,0,9,11,27,58,26,13,9,9,14,12,14,27,48,73,42,28,32,20,11
South End Ave & Liberty St,2,2,2,2,-3,5,18,22,44,-11,8,-2,-21,5,-15,-7,-20,-4,0,-2,20,17,0,3,10,7,4,2,7,17,44,161,337,167,66,75,109,125,116,127,182,245,243,146,115,69,39,33
E 20 St & FDR Drive,-3,1,1,0,-5,-13,-60,-111,-130,-12,-14,1,-5,4,10,20,42,60,27,26,38,23,13,0,4,5,1,0,5,19,79,159,174,32,32,44,39,46,52,73,114,163,130,62,74,44,24,6
E 3 St & 1 Ave,0,-1,2,1,-1,-3,-18,-21,-60,-3,4,2,2,5,9,11,19,51,26,8,0,-1,-2,-10,14,9,4,1,3,3,36,78,120,37,26,37,36,47,73,82,103,146,153,78,56,58,50,34
Mercer St & Bleecker St,-4,-4,1,-1,1,-1,24,2,55,59,13,-3,8,10,-9,9,-7,2,-13,-19,-30,-20,-8,-11,10,4,3,3,1,1,38,55,157,183,125,83,76,106,95,120,140,188,199,151,120,87,42,23
W 14 St & The High Line,-4,-4,0,1,0,0,6,13,51,51,25,0,1,6,-10,-2,-9,-16,-52,-17,-12,-7,-9,-5,6,6,0,1,0,2,12,21,87,69,59,45,57,61,72,72,79,120,180,76,48,19,19,17
St James Pl & Oliver St,3,2,0,0,0,1,-6,-7,-24,-7,-9,4,5,6,-5,-5,1,10,1,5,9,-7,0,0,7,2,0,0,0,1,18,31,69,63,29,24,33,38,31,36,31,46,55,43,44,31,30,14
William St & Pine St,2,0,3,0,5,3,13,46,75,9,5,-4,-5,-10,-13,-7,-46,-72,-14,-2,-6,-1,-3,3,4,2,3,0,5,5,51,68,131,57,31,29,32,32,41,38,70,108,34,30,26,17,9,5
N 6 St & Bedford Ave,0,3,-3,1,-1,2,2,37,38,29,-2,-3,4,1,-16,7,2,10,-15,-8,-8,-1,-5,-3,8,5,3,1,1,2,10,53,96,71,36,46,42,42,43,37,39,63,93,47,53,19,22,17
Graham Ave & Grand St,2,0,0,0,0,0,5,2,-1,-6,-3,-2,-2,0,1,2,-3,2,1,4,0,7,2,5,8,2,0,2,0,0,5,2,11,12,9,6,2,8,9,10,5,14,5,14,10,13,8,9
W 56 St & 10 Ave,-4,-8,0,1,2,2,18,16,-47,-5,4,-2,7,-9,-11,2,-1,9,6,14,2,4,-10,3,12,14,4,3,2,10,50,92,160,65,67,41,29,28,43,44,33,99,74,62,50,34,38,24
E 12 St & 3 Ave,-17,4,2,1,-5,-3,-6,-23,-28,-15,0,-6,14,-9,-9,14,20,26,35,14,6,-5,-10,-11,27,16,6,1,5,13,32,83,118,106,82,80,94,150,112,129,114,166,230,167,114,97,64,49
Broadway & E 22 St,2,-2,-1,0,0,6,44,53,107,1,-9,0,8,-13,-32,-35,-36,-29,-36,-14,0,-1,4,-4,12,4,1,0,0,6,72,149,283,131,128,139,186,192,181,179,242,334,301,140,56,49,28,12
University Pl & E 14 St,0,-5,3,0,3,3,10,28,52,43,-6,6,-4,18,-2,1,4,3,3,-28,-39,-14,-1,-26,24,11,9,0,3,13,28,82,190,177,92,98,128,126,142,146,153,223,245,208,180,116,81,54
Mercer St & Spring St,-3,1,1,0,-2,-1,14,13,60,43,3,4,6,-8,2,-13,10,-12,-29,-29,-20,-19,-2,-4,5,3,1,0,2,1,14,29,97,72,37,58,63,71,74,88,73,122,139,111,51,35,10,6
Watts St & Greenwich St,0,-4,0,0,0,-7,10,58,34,28,-6,-7,-4,3,4,4,-4,-63,-14,-1,-6,3,5,0,6,4,0,2,0,7,27,100,92,101,49,35,40,55,59,78,72,153,100,76,36,34,32,22
Lafayette St & Jersey St,4,-2,1,-1,2,3,34,38,55,36,4,-21,5,-8,-8,11,-8,-41,-58,-26,-6,-7,-1,-4,6,4,1,1,4,9,48,116,221,184,115,119,124,148,158,137,166,237,300,166,90,70,33,20
W 41 St & 8 Ave,-3,1,-3,4,-3,-86,-109,0,8,16,-15,-8,9,20,62,104,152,168,-19,0,-26,1,-19,-4,29,13,11,4,3,90,167,112,190,227,133,90,86,100,158,230,296,459,365,222,132,111,107,72
S 3 St & Bedford Ave,1,0,0,0,0,-1,-6,-7,-24,-4,-4,-6,2,-4,12,-1,0,-5,15,7,-1,-2,2,-7,3,1,2,0,0,1,6,9,34,36,16,10,14,14,16,17,30,27,43,37,15,23,19,15
W 43 St & 10 Ave,-3,1,3,0,-4,2,-34,-84,-37,-1,4,-2,11,-4,6,-1,15,51,20,22,9,6,-2,3,3,3,3,2,4,20,66,149,87,35,54,56,75,82,87,103,129,182,142,112,65,37,32,15
9 Ave & W 18 St,-3,-3,-4,0,-4,1,11,20,50,24,-7,0,2,0,-9,-4,10,-23,6,-10,-2,7,10,-9,5,5,11,0,4,1,15,84,189,160,73,62,52,34,49,85,88,121,142,101,70,57,46,27
W 13 St & Hudson St,-6,-3,-3,-1,-2,6,3,8,38,62,12,11,2,-6,-1,-28,6,-7,-35,0,6,0,-4,2,18,5,5,3,2,6,7,42,97,120,54,57,76,64,63,99,109,133,149,112,82,52,44,17
W 16 St & The High Line,-4,-1,-2,0,-1,-1,48,3,52,36,-11,1,-2,-11,1,-3,-19,-19,-27,-25,-9,-6,-6,4,4,5,2,0,1,3,58,67,154,106,60,73,64,59,71,96,109,148,137,83,57,35,12,4
W 22 St & 8 Ave,-2,-2,0,-1,-2,-1,-33,-19,-101,-8,5,8,7,3,23,26,32,59,12,8,-8,2,-3,2,14,8,0,1,2,11,49,79,203,88,60,62,75,85,98,109,109,151,148,106,56,75,45,36
2 Ave & E 58 St,0,1,1,-1,0,-7,-4,-3,33,25,5,-4,7,-6,11,0,7,9,-23,-28,-2,-2,-14,4,4,3,1,1,0,11,22,63,177,115,41,40,43,40,37,43,37,79,102,56,36,30,22,10
Shevchenko Pl & E 7 St,-7,-1,-3,1,-1,-7,-11,-10,-13,-13,-12,-3,-18,-1,0,-1,10,-3,60,44,15,-4,0,-9,19,12,7,3,1,13,29,46,181,153,74,66,62,55,58,65,67,92,143,144,93,62,59,38
Central Park West & W 72 St,0,0,1,1,0,0,1,-36,-43,-38,-3,10,22,-27,-6,-16,10,6,15,9,0,4,-4,-1,2,2,1,1,0,0,7,50,73,96,72,94,112,97,70,100,81,99,67,42,23,12,10,3
Riverside Dr & W 78 St,1,2,1,1,0,-2,-11,-32,-76,-42,0,-12,2,3,-12,9,6,24,34,8,5,11,6,4,1,2,1,1,0,2,17,48,77,50,18,34,29,33,40,44,45,69,67,28,17,20,8,8
Riverside Dr & W 72 St,1,1,1,0,-1,-1,0,-23,-50,-39,-18,-10,-5,4,8,8,17,49,51,13,4,4,2,0,1,1,1,0,1,3,4,33,75,59,38,32,34,28,37,27,58,83,84,33,17,12,8,8
Vesey Pl & River Terrace,-2,-1,0,0,0,18,7,69,81,-14,-10,2,-1,-3,-10,7,18,-119,-18,27,-21,-9,-9,4,4,3,0,0,0,20,156,274,351,117,70,82,107,106,137,177,214,379,196,127,83,49,21,10
Forsyth St & Broome St,0,-4,-4,1,1,0,1,-27,-24,-12,-3,8,4,6,-2,0,12,10,2,8,1,8,5,12,12,12,4,5,3,10,11,69,76,78,43,52,47,64,80,60,79,107,114,100,80,48,45,36
Jackson Ave & 46 Rd,-1,-1,0,0,0,1,-4,0,-3,-6,0,1,0,-1,4,0,-2,3,-11,0,1,-2,1,-3,1,1,0,0,0,1,6,2,11,6,2,3,11,9,4,4,6,15,21,6,7,2,1,3
21 St & 43 Ave,0,1,0,0,1,0,0,3,5,7,-2,1,2,1,-5,-2,1,-1,2,-3,0,-2,0,1,0,1,0,0,1,0,0,3,7,7,2,1,2,7,7,5,9,3,4,3,0,2,4,3
Vernon Blvd & 50 Ave,-2,-2,1,0,0,2,8,25,56,15,12,-2,4,-2,-1,2,-2,-18,-19,-18,-18,-19,-4,-2,4,2,3,0,0,2,8,33,74,53,25,22,16,25,25,24,28,52,54,44,42,27,6,6
Center Blvd & Borden Ave,-1,1,0,-2,0,0,-1,0,-2,-3,0,-4,4,-4,1,-1,2,7,-2,2,2,1,-1,-2,1,1,0,2,0,0,1,4,4,11,8,8,8,6,7,2,10,13,15,2,4,5,1,2
Cliff St & Fulton St,5,1,0,0,0,4,0,16,9,20,9,8,10,16,-8,-11,-18,-33,-12,-30,1,3,5,8,9,1,0,3,0,8,34,62,119,94,41,20,38,42,50,43,74,98,124,98,59,41,19,10
Hudson St & Reade St,1,1,0,-2,0,-1,-1,-1,-14,14,2,20,20,3,7,-9,-10,20,-7,-20,-10,-13,-6,-3,11,1,2,2,4,7,11,41,120,87,44,46,64,59,67,43,63,102,91,77,35,21,13,11
E 30 St & Park Ave S,6,-3,0,1,-1,13,23,-18,99,45,-3,2,-3,-2,-4,-9,-28,-53,-20,-12,1,-2,0,1,6,7,0,1,5,17,49,90,238,171,83,56,102,104,89,71,118,159,116,74,58,45,36,19
E 84 St & Park Ave,0,3,0,0,1,-2,-13,-37,-49,-31,6,13,14,24,6,7,20,36,11,1,2,-4,-2,-2,0,5,2,0,1,2,23,71,105,64,72,78,61,93,102,92,90,122,67,25,38,30,12,8
W 59 St & 10 Ave,-4,-1,-3,-1,1,16,18,-31,-35,3,3,1,-4,-1,0,4,-5,7,9,-11,-2,-1,3,-4,6,1,3,1,1,30,86,92,81,35,24,17,21,17,38,44,55,83,82,61,36,29,15,11
E 16 St & 5 Ave,1,5,-1,-1,1,-3,-9,27,99,67,15,2,-2,-1,-24,-6,-17,-45,-56,-29,-9,-1,-4,1,9,5,3,1,3,7,19,71,176,165,81,66,81,102,126,138,137,213,235,115,62,50,32,15
S 5 Pl & S 4 St,1,6,-1,-1,1,6,-10,-10,-45,-24,-13,2,8,-16,10,-2,6,7,42,4,17,9,2,-8,5,8,13,1,1,6,16,22,77,81,44,30,60,50,66,44,44,52,91,83,79,40,35,24
W 84 St & Columbus Ave,0,-1,0,0,0,-7,-37,-65,-82,-39,-18,-24,-7,-4,2,13,8,27,26,-6,10,-1,0,0,2,1,0,0,0,8,42,92,106,60,43,64,75,73,75,77,68,89,88,46,38,24,16,4
